ID,PR
759491,0.013674851691962971
25462,0.012037785380188262
66915,35.80710416649361
71209,0.42668968367567867
91438,0.011171295838033366
113823,0.0029542181848495963
132710,0.0006409324389344848
208582,0.009695545191496444
378288,0.08691245208518886
397880,0.05366192414028497
489999,0.015879454938238915
492331,0.13508352195499426
615119,0.16391024949362382
651107,0.024558280109782987
747445,0.2924904195371
755156,0.495261568562513
838272,0.11834965021184896
895136,0.40557080329398154
899530,0.48294043958241767
960690,0.1320066375241811
988638,0.1836303005102655
75264,0.19481799669400782
91650,1.2503391360795275
112789,0.04464356019254035
134729,0.0918493588613984
175775,0.009823648821248481
295756,0.10150056774295985
359326,0.019384896543943615
446509,0.9314479450496016
485135,0.010248468712750276
579839,0.06609271222844146
741746,0.03174768273893846
789064,0.0009736235587346524
790820,0.03997242888770179
796045,0.028278783798829078
806829,0.15228161825978448
825087,0.010072800725437427
863790,0.04774143264317429
883318,0.11828216671049986
151290,0.004692621577419518
286662,0.002223212796881797
748421,0.0
5953,0.8827318509330127
12654,0.00521774482804325
59537,0.1672304929663849
61938,0.06930151160123822
81493,0.09002687825742067
84209,0.9655279651287743
130932,0.04021556840584134
139026,6.287301304181209
182598,1.1372810663763102
187581,0.29231555158424943
200968,0.009324685890307915
349157,0.06650624103849856
354105,9.43889692400055
379125,2.365811729313743
390390,0.07956963320182948
485791,0.023738706168768317
490004,2.8114917653041553
503913,0.04353269316768886
562304,3.6475556779178806
574772,0.39982684656744566
604852,0.4658544899259602
623985,0.016815117007244723
754032,78.90120788800779
771438,3.894146803459057
772567,0.14419974548791167
840402,8.249705185525631
8828,0.02421295086025708
81403,0.0032498779271210457
546214,0.014097609113687546
628467,0.03062511920482268
13384,0.026767235741862634
19241,0.021493102033762184
65397,0.014161190191952814
86312,0.01817368993233713
99753,0.005429408864848255
136640,0.12305405970597529
175286,0.22085702451847974
210512,0.0027047466532861965
234325,0.21345237931150268
409954,0.25414168539995186
749175,0.005587251901985739
804289,0.010526509384181289
50493,0.0005926488166332147
96977,0.001555702642157874
97325,0.01261533100481661
219966,0.00277303547188723
561105,0.004148540961210259
607053,0.006814731815119639
1528006,0.0008872136000254722
559405,8.667484547008426e-05
156886,0.003131106165394462
112017,0.020954235291842583
203804,8.91329779857465e-05
588679,8.91329779857465e-05
744548,0.09490790875963302
38936,0.3488286428894955
41874,6.300902457348294
249175,0.005619853241887335
639397,0.010961190072754735
642542,0.6346252160665674
765585,0.0019116912895109606
781837,0.10151218751699531
785283,0.0742821567881914
792507,1.1371615542602114
798543,0.0014360255123285395
183867,0.3293048989222733
346336,3.777152368978005
423829,5.109536039008073
750519,0.2847663879412769
840102,0.190211540040959
988440,0.3543113863806825
133969,0.01298899687166077
7689,0.06401431719311883
160690,0.030537968118614058
208774,0.26234390424931936
262255,0.09741686059405025
