year,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,genre
1921,0.425660938,0.236783594,0.425494531,100.3977578,-17.0954375,1,7,0.895823438,0.32233011,0.215814063,0.077257813,229911.9141,0.3515625,Comedy/Spoken
1922,0.48,0.23702625,0.534055556,101.37613890000002,-19.17995833,1,10,0.9392361109999999,0.44046994100000003,0.238647222,0.11541944400000001,167904.5417,0.13888888900000002,Easy Listening
1923,0.568461538,0.246936095,0.624787574,112.45659760000001,-14.37388166,1,0,0.9763289409999999,0.40193248200000004,0.236655621,0.098618935,178356.3018,5.727810651,Easy Listening
1924,0.548654008,0.347032911,0.66857384,120.65335859999999,-14.2023038,1,10,0.9355745440000001,0.583954695,0.23787468399999998,0.090209705,188461.6498,0.6033755270000001,Easy Listening
1925,0.571889734,0.264372624,0.616430418,115.6717148,-14.51670722,1,5,0.965422053,0.40889340799999996,0.24309353600000003,0.11545741400000001,184130.6996,2.707224335,Easy Listening
1926,0.558295195,0.23919493100000003,0.495961453,108.49657320000001,-16.41062128,1,5,0.7409195940000001,0.46850527399999997,0.234052517,0.306672426,170391.5011,1.613272311,Easy Listening
1927,0.649959732,0.256158725,0.66065906,114.61146480000001,-14.72681208,1,7,0.934606323,0.40227578399999997,0.167778523,0.116197483,185163.1997,0.832214765,Easy Listening
1928,0.529695689,0.207142747,0.49295359299999997,106.195246,-17.31619273,1,1,0.946188006,0.516979011,0.177988335,0.13531327099999998,217498.3119,1.536770921,Blues
1929,0.647005087,0.24051342,0.6382076839999999,111.35398810000001,-16.60708874,1,7,0.591110509,0.21946126,0.235988312,0.485278355,169983.4253,0.327922078,Easy Listening
1930,0.510382249,0.327300193,0.618458159,110.21435559999999,-12.685934399999999,1,2,0.943474167,0.36337664,0.217320397,0.07970237,195908.5595,0.871554576,Easy Listening
1931,0.5560935229999999,0.25843397,0.571312954,108.0102812,-15.90358136,1,0,0.875893523,0.3320111,0.239117852,0.233181517,179379.5735,0.21169036300000002,Easy Listening
1932,0.560050939,0.305478497,0.5936018789999999,116.22583300000001,-13.28890605,1,7,0.940087683,0.22641791600000002,0.236319833,0.141776409,193462.6848,1.542797495,Easy Listening
1933,0.603766399,0.287360611,0.635153376,115.0536817,-12.76876527,1,5,0.90501086,0.130555862,0.210155466,0.096170579,192454.0386,7.069131832999999,Easy Listening
1934,0.529833935,0.259990614,0.564255054,115.98828700000001,-14.86393863,1,0,0.89285375,0.273865077,0.216328159,0.10440938599999999,187911.9964,1.046931408,Easy Listening
1935,0.553363892,0.244698444,0.541963636,110.6644155,-15.49448015,1,7,0.781330269,0.22647890699999998,0.228123175,0.35480512200000003,222171.395,1.3629961590000002,Blues
